time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1731409995347611000,27.51761083984375,0.09475474804639816,-0.2691963016986847,0.8338281512260437,0.47253096103668213,-2.4852826595306396,-0.8286268711090088,-2.219788074493408
1731409995357415700,27.527415771484375,0.09436255693435669,-0.2696671485900879,0.8336731195449829,0.47261449694633484,-2.4855005741119385,-0.8287971615791321,-2.218693256378174
1731409995367221200,27.53722119140625,0.094027578830719,-0.2701275050640106,0.833544135093689,0.4726458787918091,-2.4857141971588135,-0.8288333415985107,-2.21769118309021
1731409995377027800,27.54702783203125,0.09417794644832611,-0.2697770595550537,0.8337007164955139,0.47253990173339844,-2.4859707355499268,-0.8287683129310608,-2.2187111377716064
1731409995386833400,27.55683349609375,0.09424014389514923,-0.26960089802742004,0.8338080048561096,0.4724387526512146,-2.486236095428467,-0.8286682963371277,-2.2193362712860107
1731409995396638200,27.56663818359375,0.09464124590158463,-0.26881179213523865,0.8341197371482849,0.47225791215896606,-2.486542224884033,-0.8285586833953857,-2.221459150314331
1731409995406443800,27.57644384765625,0.0946086049079895,-0.2687617838382721,0.8342108130455017,0.47213199734687805,-2.4869461059570312,-0.8284151554107666,-2.221881866455078
1731409995416250000,27.58625,0.09449126571416855,-0.26882630586624146,0.8342658877372742,0.4720214605331421,-2.4873898029327393,-0.828294575214386,-2.222040891647339
1731409995426056000,27.596055908203127,0.09417244791984558,-0.2692657709121704,0.8342017531394958,0.4719479978084564,-2.487820863723755,-0.8281548619270325,-2.221303701400757
1731409995435860500,27.605860595703124,0.09441513568162918,-0.2687097191810608,0.8344807624816895,0.47172310948371887,-2.4883408546447754,-0.8279512524604797,-2.223036289215088
1731409995445666300,27.615666259765625,0.09444350004196167,-0.2684883177280426,0.8346636891365051,0.4715198874473572,-2.488953113555908,-0.82774418592453,-2.224020004272461
1731409995455472600,27.62547265625,0.09421388804912567,-0.2686918377876282,0.8346653580665588,0.4714469313621521,-2.489424705505371,-0.8276920318603516,-2.223825693130493
1731409995465278200,27.6352783203125,0.09414315968751907,-0.26854079961776733,0.8347693085670471,0.4713630676269531,-2.489926338195801,-0.8277282118797302,-2.224452257156372
1731409995475083000,27.6450830078125,0.09401917457580566,-0.2684782147407532,0.8348929286003113,0.4712044596672058,-2.490621566772461,-0.8276247978210449,-2.2250478267669678
1731409995484888600,27.654888671875,0.09391795843839645,-0.26838013529777527,0.8350051045417786,0.47108176350593567,-2.491222620010376,-0.8275858163833618,-2.225642204284668
1731409995494695200,27.664695068359375,0.09315245598554611,-0.26943257451057434,0.834682822227478,0.4712040424346924,-2.491603136062622,-0.8277562856674194,-2.223247528076172
1731409995504500700,27.674500732421876,0.09272539615631104,-0.2697455585002899,0.8346066474914551,0.4712441563606262,-2.4921605587005615,-0.8280035257339478,-2.222684860229492
1731409995514305500,27.684305419921873,0.09215975552797318,-0.27028968930244446,0.8344194889068604,0.4713747501373291,-2.4925930500030518,-0.8283678889274597,-2.2214367389678955
